Tanggal Cetak : 2019-02-02 10:57:10
Tanggal : 2018-01-01 00:00:00-2018-01-10 00:00:00
Total Omzet : 25355000
Laba Kotor : 10514902
Total Penjualan : 212
Total Barang : 214

ID Pesanan,Jumlah,Waktu,Harga Jual,Harga Beli,Total,Laba,Nama Barang,SKU
ID-20180108-314485,1,2018-01-08 05:14:13 +0000 UTC,115000,71000,115000,44000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180108-712081,1,2018-01-08 05:08:47 +0000 UTC,130000,73400,130000,56600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180108-290736,1,2018-01-08 04:43:22 +0000 UTC,115000,73400,115000,41600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180108-290736,1,2018-01-08 04:43:22 +0000 UTC,115000,70000,115000,45000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
ID-20180108-516025,1,2018-01-08 03:54:55 +0000 UTC,110000,70000,110000,40000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
ID-20180108-232069,1,2018-01-08 03:42:09 +0000 UTC,125000,69000,125000,56000,"Devibav Plain Trump Blouse (M,Salem)",SSI-D01220388-MM-SAL
ID-20180108-787015,1,2018-01-08 02:52:26 +0000 UTC,110000,69667,110000,40333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180108-806361,1,2018-01-08 01:06:26 +0000 UTC,110000,68000,110000,42000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180108-806361,1,2018-01-08 01:06:26 +0000 UTC,115000,69000,115000,46000,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",SSI-D01326201-XL-KHA
ID-20180107-158796,1,2018-01-07 23:04:34 +0000 UTC,130000,69667,130000,60333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180107-954171,1,2018-01-07 19:19:21 +0000 UTC,130000,73400,130000,56600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180107-988936,1,2018-01-07 16:58:37 +0000 UTC,125000,71000,125000,54000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180107-824047,1,2018-01-07 14:48:46 +0000 UTC,130000,74750,130000,55250,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
ID-20180107-824047,1,2018-01-07 14:48:46 +0000 UTC,115000,78500,115000,36500,"Salyara Plain Casual Big Blouse (XXL,Black)",SSI-D01466013-XX-BLA
ID-20180107-224203,1,2018-01-07 14:24:02 +0000 UTC,130000,71000,130000,59000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180107-932533,1,2018-01-07 13:55:44 +0000 UTC,130000,67000,130000,63000,"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL
ID-20180107-275815,1,2018-01-07 13:12:45 +0000 UTC,120000,78500,120000,41500,"Salyara Plain Casual Big Blouse (XXL,Black)",SSI-D01466013-XX-BLA
ID-20180107-792305,1,2018-01-07 12:44:55 +0000 UTC,110000,74750,110000,35250,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
ID-20180107-557472,1,2018-01-07 12:25:36 +0000 UTC,130000,67333,130000,62667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180107-654373,1,2018-01-07 11:19:38 +0000 UTC,125000,69667,125000,55333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180107-256771,1,2018-01-07 10:39:42 +0000 UTC,130000,73000,130000,57000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
ID-20180107-256771,1,2018-01-07 10:39:42 +0000 UTC,125000,74750,125000,50250,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
ID-20180107-267724,1,2018-01-07 10:14:41 +0000 UTC,115000,69667,115000,45333,"Zalekia Plain Casual Blouse (M,Broken White)",SSI-D00791077-MM-BWH
ID-20180107-267724,1,2018-01-07 10:14:41 +0000 UTC,110000,68000,110000,42000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180107-637443,1,2018-01-07 09:40:02 +0000 UTC,110000,69667,110000,40333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180107-394574,1,2018-01-07 08:30:45 +0000 UTC,130000,69000,130000,61000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180107-886518,1,2018-01-07 07:24:22 +0000 UTC,120000,73400,120000,46600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180107-248621,1,2018-01-07 06:19:20 +0000 UTC,125000,69000,125000,56000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180107-248621,1,2018-01-07 06:19:20 +0000 UTC,115000,63250,115000,51750,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
ID-20180107-886941,1,2018-01-07 06:10:03 +0000 UTC,125000,67333,125000,57667,"Devibav Plain Trump Blouse (XL,Yellow)",SSI-D01220334-XL-YEL
ID-20180107-515949,1,2018-01-07 03:51:39 +0000 UTC,110000,68000,110000,42000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
ID-20180107-515949,1,2018-01-07 03:51:39 +0000 UTC,125000,67333,125000,57667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180107-715783,1,2018-01-07 02:58:26 +0000 UTC,130000,69000,130000,61000,"Devibav Plain Trump Blouse (M,Yellow)",SSI-D01220322-MM-YEL
ID-20180107-487998,1,2018-01-07 02:10:30 +0000 UTC,130000,73000,130000,57000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
ID-20180106-916346,1,2018-01-06 22:50:24 +0000 UTC,120000,63250,120000,56750,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
ID-20180106-916346,1,2018-01-06 22:50:24 +0000 UTC,115000,69000,115000,46000,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",SSI-D01326201-XL-KHA
ID-20180106-747402,1,2018-01-06 21:56:16 +0000 UTC,120000,68000,120000,52000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
ID-20180106-660361,1,2018-01-06 15:00:36 +0000 UTC,130000,71000,130000,59000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180106-995226,1,2018-01-06 13:50:49 +0000 UTC,125000,69000,125000,56000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180106-159566,1,2018-01-06 12:55:30 +0000 UTC,110000,67333,110000,42667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180106-159566,1,2018-01-06 12:55:30 +0000 UTC,130000,73400,130000,56600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180106-448993,2,2018-01-06 12:34:34 +0000 UTC,120000,74750,240000,165250,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
ID-20180106-497805,1,2018-01-06 12:05:40 +0000 UTC,125000,69000,125000,56000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180106-052436,1,2018-01-06 12:04:27 +0000 UTC,125000,67167,125000,57833,"Devibav Plain Trump Blouse (XL,Salem)",SSI-D01220307-XL-SAL
ID-20180106-191506,1,2018-01-06 10:49:04 +0000 UTC,130000,71000,130000,59000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180106-191506,1,2018-01-06 10:49:04 +0000 UTC,110000,68000,110000,42000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180106-963044,1,2018-01-06 10:48:48 +0000 UTC,125000,68000,125000,57000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180106-147883,1,2018-01-06 09:46:51 +0000 UTC,115000,69000,115000,46000,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",SSI-D01326201-XL-KHA
ID-20180106-194221,1,2018-01-06 09:36:09 +0000 UTC,115000,69667,115000,45333,"Zalekia Plain Casual Blouse (M,Broken White)",SSI-D00791077-MM-BWH
ID-20180106-194221,1,2018-01-06 09:36:09 +0000 UTC,120000,67333,120000,52667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180106-941338,1,2018-01-06 09:32:12 +0000 UTC,130000,70833,130000,59167,"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA
ID-20180106-840203,1,2018-01-06 09:10:38 +0000 UTC,125000,67000,125000,58000,"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL
ID-20180106-840203,1,2018-01-06 09:10:38 +0000 UTC,120000,73400,120000,46600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180106-668414,1,2018-01-06 08:46:04 +0000 UTC,110000,67333,110000,42667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180106-011810,1,2018-01-06 07:23:09 +0000 UTC,125000,69000,125000,56000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180106-011810,1,2018-01-06 07:23:09 +0000 UTC,110000,71000,110000,39000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180106-821540,1,2018-01-06 06:50:02 +0000 UTC,120000,69000,120000,51000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180106-477498,1,2018-01-06 05:47:41 +0000 UTC,125000,68500,125000,56500,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
ID-20180106-122138,1,2018-01-06 04:21:48 +0000 UTC,115000,63250,115000,51750,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
ID-20180106-122138,1,2018-01-06 04:21:48 +0000 UTC,120000,69667,120000,50333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180106-622958,1,2018-01-06 03:31:53 +0000 UTC,125000,68400,125000,56600,"Devibav Plain Trump Blouse (L,Salem)",SSI-D01220346-LL-SAL
ID-20180106-326196,1,2018-01-06 03:22:53 +0000 UTC,130000,69000,130000,61000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180106-599823,1,2018-01-06 02:34:20 +0000 UTC,115000,67000,115000,48000,"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL
ID-20180106-995006,1,2018-01-06 01:39:02 +0000 UTC,115000,68000,115000,47000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180106-995006,1,2018-01-06 01:39:02 +0000 UTC,125000,74750,125000,50250,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
ID-20180106-952955,1,2018-01-06 00:53:40 +0000 UTC,130000,69000,130000,61000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180106-137612,1,2018-01-06 00:44:37 +0000 UTC,120000,63250,120000,56750,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
ID-20180105-708484,1,2018-01-05 20:10:56 +0000 UTC,130000,70833,130000,59167,"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA
ID-20180105-708484,1,2018-01-05 20:10:56 +0000 UTC,110000,68000,110000,42000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180105-452199,1,2018-01-05 20:04:18 +0000 UTC,120000,68000,120000,52000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
ID-20180105-241122,1,2018-01-05 16:38:10 +0000 UTC,115000,69000,115000,46000,"Devibav Plain Trump Blouse (M,Salem)",SSI-D01220388-MM-SAL
ID-20180105-241122,1,2018-01-05 16:38:10 +0000 UTC,110000,67000,110000,43000,"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL
ID-20180105-062130,1,2018-01-05 14:35:11 +0000 UTC,125000,71000,125000,54000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180105-969432,1,2018-01-05 14:33:29 +0000 UTC,120000,69000,120000,51000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180105-865417,1,2018-01-05 13:59:30 +0000 UTC,115000,73400,115000,41600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180105-865417,1,2018-01-05 13:59:30 +0000 UTC,115000,68000,115000,47000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
ID-20180105-480016,1,2018-01-05 13:28:16 +0000 UTC,110000,78500,110000,31500,"Salyara Plain Casual Big Blouse (XXL,Black)",SSI-D01466013-XX-BLA
ID-20180105-480016,1,2018-01-05 13:28:16 +0000 UTC,120000,68000,120000,52000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180105-072726,1,2018-01-05 13:04:31 +0000 UTC,120000,71000,120000,49000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180105-103404,1,2018-01-05 12:53:53 +0000 UTC,120000,69667,120000,50333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180105-290734,1,2018-01-05 11:48:32 +0000 UTC,115000,67333,115000,47667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180105-227687,1,2018-01-05 11:33:15 +0000 UTC,115000,69000,115000,46000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180105-740096,1,2018-01-05 11:08:47 +0000 UTC,110000,68000,110000,42000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180105-373123,1,2018-01-05 10:25:37 +0000 UTC,130000,68000,130000,62000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180105-522085,1,2018-01-05 10:19:21 +0000 UTC,125000,72667,125000,52333,"Zalekia Plain Casual Blouse (XL,Broken White)",SSI-D00791091-XL-BWH
ID-20180105-695274,1,2018-01-05 08:15:36 +0000 UTC,120000,73000,120000,47000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
ID-20180105-695274,1,2018-01-05 08:15:36 +0000 UTC,120000,69667,120000,50333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180105-014693,1,2018-01-05 07:10:31 +0000 UTC,130000,68500,130000,61500,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
ID-20180105-773319,1,2018-01-05 06:33:11 +0000 UTC,115000,68000,115000,47000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180105-773319,1,2018-01-05 06:33:11 +0000 UTC,130000,68000,130000,62000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
Hilang,1,2018-01-05 06:14:16 +0000 UTC,0,73000,0,-73000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
ID-20180105-076908,1,2018-01-05 04:44:38 +0000 UTC,130000,73000,130000,57000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
ID-20180105-600820,1,2018-01-05 04:13:39 +0000 UTC,120000,73000,120000,47000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
ID-20180105-247474,1,2018-01-05 03:42:39 +0000 UTC,120000,68000,120000,52000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
ID-20180105-720461,1,2018-01-05 03:42:39 +0000 UTC,115000,74750,115000,40250,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
ID-20180105-595608,1,2018-01-05 02:30:48 +0000 UTC,115000,71000,115000,44000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180105-595608,1,2018-01-05 02:30:48 +0000 UTC,130000,68000,130000,62000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
ID-20180105-762941,1,2018-01-05 02:29:37 +0000 UTC,120000,67333,120000,52667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180105-101047,1,2018-01-05 02:06:48 +0000 UTC,115000,68500,115000,46500,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
ID-20180105-101047,1,2018-01-05 02:06:48 +0000 UTC,115000,74750,115000,40250,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
ID-20180105-850240,1,2018-01-05 01:01:57 +0000 UTC,110000,63250,110000,46750,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
ID-20180105-850240,1,2018-01-05 01:01:57 +0000 UTC,130000,71000,130000,59000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180105-511121,1,2018-01-05 00:51:17 +0000 UTC,110000,71000,110000,39000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180105-991431,1,2018-01-05 00:07:22 +0000 UTC,120000,68500,120000,51500,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
ID-20180105-991431,1,2018-01-05 00:07:22 +0000 UTC,120000,68000,120000,52000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
ID-20180104-627761,1,2018-01-04 23:37:14 +0000 UTC,130000,71000,130000,59000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180104-665186,1,2018-01-04 22:48:26 +0000 UTC,120000,68500,120000,51500,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
Hilang,1,2018-01-04 14:51:51 +0000 UTC,0,69000,0,-69000,"Devibav Plain Trump Blouse (M,Salem)",SSI-D01220388-MM-SAL
ID-20180104-472717,1,2018-01-04 14:48:37 +0000 UTC,125000,73000,125000,52000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
ID-20180104-519721,1,2018-01-04 12:38:09 +0000 UTC,130000,73400,130000,56600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180104-814281,1,2018-01-04 12:01:06 +0000 UTC,125000,74750,125000,50250,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
ID-20180104-814281,1,2018-01-04 12:01:06 +0000 UTC,120000,69667,120000,50333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180104-691716,1,2018-01-04 11:44:44 +0000 UTC,120000,71250,120000,48750,"Siunfhi Ethnic Trump Blouse (L,Navy)",SSI-D01326299-LL-NAV
ID-20180104-657887,1,2018-01-04 10:29:21 +0000 UTC,130000,71000,130000,59000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180104-657887,1,2018-01-04 10:29:21 +0000 UTC,115000,73400,115000,41600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180104-888077,1,2018-01-04 08:54:06 +0000 UTC,125000,67333,125000,57667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180104-770524,1,2018-01-04 08:25:36 +0000 UTC,130000,68000,130000,62000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180104-770524,1,2018-01-04 08:25:36 +0000 UTC,120000,67333,120000,52667,"Devibav Plain Trump Blouse (XL,Yellow)",SSI-D01220334-XL-YEL
ID-20180104-110389,1,2018-01-04 07:41:35 +0000 UTC,125000,67333,125000,57667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180104-514620,1,2018-01-04 07:22:16 +0000 UTC,110000,70833,110000,39167,"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA
ID-20180104-671852,1,2018-01-04 06:21:11 +0000 UTC,115000,70000,115000,45000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
ID-20180104-671852,1,2018-01-04 06:21:11 +0000 UTC,110000,71000,110000,39000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180104-172139,1,2018-01-04 05:58:02 +0000 UTC,110000,69000,110000,41000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
ID-20180104-653179,1,2018-01-04 05:49:04 +0000 UTC,115000,67333,115000,47667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180104-796899,1,2018-01-04 05:08:26 +0000 UTC,110000,68000,110000,42000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
ID-20180104-796899,1,2018-01-04 05:08:26 +0000 UTC,115000,69667,115000,45333,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
ID-20180104-417663,1,2018-01-04 04:48:08 +0000 UTC,120000,67000,120000,53000,"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL
ID-20180104-944080,1,2018-01-04 04:34:54 +0000 UTC,120000,73400,120000,46600,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
ID-20180104-394857,1,2018-01-04 03:49:19 +0000 UTC,110000,73000,110000,37000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
ID-20180104-394857,1,2018-01-04 03:49:19 +0000 UTC,125000,67333,125000,57667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180104-441349,1,2018-01-04 03:22:58 +0000 UTC,115000,69667,115000,45333,"Devibav Plain Trump Blouse (S,Yellow)",SSI-D01220357-SS-YEL
ID-20180104-281342,1,2018-01-04 03:04:21 +0000 UTC,120000,71000,120000,49000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
ID-20180104-178216,1,2018-01-04 02:47:23 +0000 UTC,115000,67333,115000,47667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180104-178216,1,2018-01-04 02:47:23 +0000 UTC,110000,74750,110000,35250,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
ID-20180104-826098,1,2018-01-04 01:30:17 +0000 UTC,125000,68000,125000,57000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
ID-20180104-605558,1,2018-01-04 00:36:14 +0000 UTC,130000,70833,130000,59167,"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA
ID-20180103-542227,1,2018-01-03 23:53:20 +0000 UTC,130000,70000,130000,60000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
ID-20180103-999499,1,2018-01-03 15:24:19 +0000 UTC,130000,69000,130000,61000,"Devibav Plain Trump Blouse (M,Yellow)",SSI-D01220322-MM-YEL
ID-20180103-234549,1,2018-01-03 15:07:30 +0000 UTC,130000,74750,130000,55250,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
ID-20180103-550533,1,2018-01-03 14:55:53 +0000 UTC,130000,67333,130000,62667,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
ID-20180103-098297,1,2018-01-03 13:11:27 +0000 UTC,130000,68000,130000,62000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
ID-20180103-098297,1,2018-01-03 13:11:27 +0000 UTC,120000,78500,120000,41500,"Salyara Plain Casual Big Blouse (XXL,Black)",SSI-D01466013-XX-BLA
ID-20180103-488855,1,2018-01-03 12:37:37 +0000 UTC,110000,73000,110000,37000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
