Jumlah Keluar,Catatan,Waktu,Harga Jual,Total,Nama Barang,SKU
1,Pesanan ID-20180107-275815,2018-01-07 13:12:45 +0000 UTC,120000,120000,"Salyara Plain Casual Big Blouse (XXL,Black)",SSI-D01466013-XX-BLA
1,Pesanan ID-20180107-792305,2018-01-07 12:44:55 +0000 UTC,110000,110000,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
1,Pesanan ID-20180107-557472,2018-01-07 12:25:36 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180107-654373,2018-01-07 11:19:38 +0000 UTC,125000,125000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180107-256771,2018-01-07 10:39:42 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
1,Pesanan ID-20180107-256771,2018-01-07 10:39:42 +0000 UTC,125000,125000,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
1,Pesanan ID-20180107-267724,2018-01-07 10:14:41 +0000 UTC,115000,115000,"Zalekia Plain Casual Blouse (M,Broken White)",SSI-D00791077-MM-BWH
1,Pesanan ID-20180107-267724,2018-01-07 10:14:41 +0000 UTC,110000,110000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180107-637443,2018-01-07 09:40:02 +0000 UTC,110000,110000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180107-394574,2018-01-07 08:30:45 +0000 UTC,130000,130000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180107-886518,2018-01-07 07:24:22 +0000 UTC,120000,120000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
1,Pesanan ID-20180107-248621,2018-01-07 06:19:20 +0000 UTC,125000,125000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180107-248621,2018-01-07 06:19:20 +0000 UTC,115000,115000,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
1,Pesanan ID-20180107-886941,2018-01-07 06:10:03 +0000 UTC,125000,125000,"Devibav Plain Trump Blouse (XL,Yellow)",SSI-D01220334-XL-YEL
1,Pesanan ID-20180107-515949,2018-01-07 03:51:39 +0000 UTC,110000,110000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
1,Pesanan ID-20180107-515949,2018-01-07 03:51:39 +0000 UTC,125000,125000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180107-715783,2018-01-07 02:58:26 +0000 UTC,130000,130000,"Devibav Plain Trump Blouse (M,Yellow)",SSI-D01220322-MM-YEL
1,Pesanan ID-20180107-487998,2018-01-07 02:10:30 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
1,Pesanan ID-20180106-916346,2018-01-06 22:50:24 +0000 UTC,120000,120000,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
1,Pesanan ID-20180106-916346,2018-01-06 22:50:24 +0000 UTC,115000,115000,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",SSI-D01326201-XL-KHA
1,Pesanan ID-20180106-747402,2018-01-06 21:56:16 +0000 UTC,120000,120000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
1,Pesanan ID-20180106-660361,2018-01-06 15:00:36 +0000 UTC,130000,130000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180106-995226,2018-01-06 13:50:49 +0000 UTC,125000,125000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180106-159566,2018-01-06 12:55:30 +0000 UTC,110000,110000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180106-159566,2018-01-06 12:55:30 +0000 UTC,130000,130000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
2,Pesanan ID-20180106-448993,2018-01-06 12:34:34 +0000 UTC,120000,240000,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
1,Pesanan ID-20180106-497805,2018-01-06 12:05:40 +0000 UTC,125000,125000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180106-052436,2018-01-06 12:04:27 +0000 UTC,125000,125000,"Devibav Plain Trump Blouse (XL,Salem)",SSI-D01220307-XL-SAL
1,Pesanan ID-20180106-191506,2018-01-06 10:49:04 +0000 UTC,130000,130000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180106-191506,2018-01-06 10:49:04 +0000 UTC,110000,110000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180106-963044,2018-01-06 10:48:48 +0000 UTC,125000,125000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180106-147883,2018-01-06 09:46:51 +0000 UTC,115000,115000,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",SSI-D01326201-XL-KHA
1,Pesanan ID-20180106-194221,2018-01-06 09:36:09 +0000 UTC,115000,115000,"Zalekia Plain Casual Blouse (M,Broken White)",SSI-D00791077-MM-BWH
1,Pesanan ID-20180106-194221,2018-01-06 09:36:09 +0000 UTC,120000,120000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180106-941338,2018-01-06 09:32:12 +0000 UTC,130000,130000,"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA
1,Pesanan ID-20180106-840203,2018-01-06 09:10:38 +0000 UTC,125000,125000,"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL
1,Pesanan ID-20180106-840203,2018-01-06 09:10:38 +0000 UTC,120000,120000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
1,Pesanan ID-20180106-668414,2018-01-06 08:46:04 +0000 UTC,110000,110000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180106-011810,2018-01-06 07:23:09 +0000 UTC,125000,125000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180106-011810,2018-01-06 07:23:09 +0000 UTC,110000,110000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180106-821540,2018-01-06 06:50:02 +0000 UTC,120000,120000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180106-477498,2018-01-06 05:47:41 +0000 UTC,125000,125000,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
1,Pesanan ID-20180106-122138,2018-01-06 04:21:48 +0000 UTC,115000,115000,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
1,Pesanan ID-20180106-122138,2018-01-06 04:21:48 +0000 UTC,120000,120000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180106-622958,2018-01-06 03:31:53 +0000 UTC,125000,125000,"Devibav Plain Trump Blouse (L,Salem)",SSI-D01220346-LL-SAL
1,Pesanan ID-20180106-326196,2018-01-06 03:22:53 +0000 UTC,130000,130000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180106-599823,2018-01-06 02:34:20 +0000 UTC,115000,115000,"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL
1,Pesanan ID-20180106-995006,2018-01-06 01:39:02 +0000 UTC,115000,115000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180106-995006,2018-01-06 01:39:02 +0000 UTC,125000,125000,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
1,Pesanan ID-20180106-952955,2018-01-06 00:53:40 +0000 UTC,130000,130000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180106-137612,2018-01-06 00:44:37 +0000 UTC,120000,120000,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
1,Pesanan ID-20180105-708484,2018-01-05 20:10:56 +0000 UTC,130000,130000,"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA
1,Pesanan ID-20180105-708484,2018-01-05 20:10:56 +0000 UTC,110000,110000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180105-452199,2018-01-05 20:04:18 +0000 UTC,120000,120000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
1,Pesanan ID-20180105-241122,2018-01-05 16:38:10 +0000 UTC,115000,115000,"Devibav Plain Trump Blouse (M,Salem)",SSI-D01220388-MM-SAL
1,Pesanan ID-20180105-241122,2018-01-05 16:38:10 +0000 UTC,110000,110000,"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL
1,Pesanan ID-20180105-062130,2018-01-05 14:35:11 +0000 UTC,125000,125000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180105-969432,2018-01-05 14:33:29 +0000 UTC,120000,120000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180105-865417,2018-01-05 13:59:30 +0000 UTC,115000,115000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
1,Pesanan ID-20180105-865417,2018-01-05 13:59:30 +0000 UTC,115000,115000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
1,Pesanan ID-20180105-480016,2018-01-05 13:28:16 +0000 UTC,110000,110000,"Salyara Plain Casual Big Blouse (XXL,Black)",SSI-D01466013-XX-BLA
1,Pesanan ID-20180105-480016,2018-01-05 13:28:16 +0000 UTC,120000,120000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180105-072726,2018-01-05 13:04:31 +0000 UTC,120000,120000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180105-103404,2018-01-05 12:53:53 +0000 UTC,120000,120000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180105-290734,2018-01-05 11:48:32 +0000 UTC,115000,115000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180105-227687,2018-01-05 11:33:15 +0000 UTC,115000,115000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180105-740096,2018-01-05 11:08:47 +0000 UTC,110000,110000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180105-373123,2018-01-05 10:25:37 +0000 UTC,130000,130000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180105-522085,2018-01-05 10:19:21 +0000 UTC,125000,125000,"Zalekia Plain Casual Blouse (XL,Broken White)",SSI-D00791091-XL-BWH
1,Pesanan ID-20180105-695274,2018-01-05 08:15:36 +0000 UTC,120000,120000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
1,Pesanan ID-20180105-695274,2018-01-05 08:15:36 +0000 UTC,120000,120000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180105-014693,2018-01-05 07:10:31 +0000 UTC,130000,130000,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
1,Pesanan ID-20180105-773319,2018-01-05 06:33:11 +0000 UTC,115000,115000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180105-773319,2018-01-05 06:33:11 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
1,Barang Hilang,2018-01-05 06:14:16 +0000 UTC,0,0,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
1,Pesanan ID-20180105-076908,2018-01-05 04:44:38 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
1,Pesanan ID-20180105-600820,2018-01-05 04:13:39 +0000 UTC,120000,120000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
1,Pesanan ID-20180105-247474,2018-01-05 03:42:39 +0000 UTC,120000,120000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
1,Pesanan ID-20180105-720461,2018-01-05 03:42:39 +0000 UTC,115000,115000,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
1,Pesanan ID-20180105-595608,2018-01-05 02:30:48 +0000 UTC,115000,115000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180105-595608,2018-01-05 02:30:48 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
1,Pesanan ID-20180105-762941,2018-01-05 02:29:37 +0000 UTC,120000,120000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180105-101047,2018-01-05 02:06:48 +0000 UTC,115000,115000,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
1,Pesanan ID-20180105-101047,2018-01-05 02:06:48 +0000 UTC,115000,115000,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
1,Pesanan ID-20180105-850240,2018-01-05 01:01:57 +0000 UTC,110000,110000,"Thafqya Plain Raglan Blouse (XL,White)",SSI-D01322275-XL-WHI
1,Pesanan ID-20180105-850240,2018-01-05 01:01:57 +0000 UTC,130000,130000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180105-511121,2018-01-05 00:51:17 +0000 UTC,110000,110000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180105-991431,2018-01-05 00:07:22 +0000 UTC,120000,120000,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
1,Pesanan ID-20180105-991431,2018-01-05 00:07:22 +0000 UTC,120000,120000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
1,Pesanan ID-20180104-627761,2018-01-04 23:37:14 +0000 UTC,130000,130000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180104-665186,2018-01-04 22:48:26 +0000 UTC,120000,120000,"Devibav Plain Trump Blouse (XXL,Salem)",SSI-D01220338-XX-SAL
1,Barang Hilang,2018-01-04 14:51:51 +0000 UTC,0,0,"Devibav Plain Trump Blouse (M,Salem)",SSI-D01220388-MM-SAL
1,Pesanan ID-20180104-472717,2018-01-04 14:48:37 +0000 UTC,125000,125000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
1,Pesanan ID-20180104-519721,2018-01-04 12:38:09 +0000 UTC,130000,130000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
1,Pesanan ID-20180104-814281,2018-01-04 12:01:06 +0000 UTC,125000,125000,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
1,Pesanan ID-20180104-814281,2018-01-04 12:01:06 +0000 UTC,120000,120000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180104-691716,2018-01-04 11:44:44 +0000 UTC,120000,120000,"Siunfhi Ethnic Trump Blouse (L,Navy)",SSI-D01326299-LL-NAV
1,Pesanan ID-20180104-657887,2018-01-04 10:29:21 +0000 UTC,130000,130000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180104-657887,2018-01-04 10:29:21 +0000 UTC,115000,115000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
1,Pesanan ID-20180104-888077,2018-01-04 08:54:06 +0000 UTC,125000,125000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180104-770524,2018-01-04 08:25:36 +0000 UTC,130000,130000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180104-770524,2018-01-04 08:25:36 +0000 UTC,120000,120000,"Devibav Plain Trump Blouse (XL,Yellow)",SSI-D01220334-XL-YEL
1,Pesanan ID-20180104-110389,2018-01-04 07:41:35 +0000 UTC,125000,125000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180104-514620,2018-01-04 07:22:16 +0000 UTC,110000,110000,"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA
1,Pesanan ID-20180104-671852,2018-01-04 06:21:11 +0000 UTC,115000,115000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
1,Pesanan ID-20180104-671852,2018-01-04 06:21:11 +0000 UTC,110000,110000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180104-172139,2018-01-04 05:58:02 +0000 UTC,110000,110000,"Zeomila Zipper Casual Blouse (XL,Red)",SSI-D01401064-XL-RED
1,Pesanan ID-20180104-653179,2018-01-04 05:49:04 +0000 UTC,115000,115000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180104-796899,2018-01-04 05:08:26 +0000 UTC,110000,110000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
1,Pesanan ID-20180104-796899,2018-01-04 05:08:26 +0000 UTC,115000,115000,"Zeomila Zipper Casual Blouse (M,Red)",SSI-D01401050-MM-RED
1,Pesanan ID-20180104-417663,2018-01-04 04:48:08 +0000 UTC,120000,120000,"Devibav Plain Trump Blouse (XXL,Yellow)",SSI-D01220355-XX-YEL
1,Pesanan ID-20180104-944080,2018-01-04 04:34:54 +0000 UTC,120000,120000,"Dellaya Plain Loose Big Blouse (XXL,Black)",SSI-D01037822-XX-BLA
1,Pesanan ID-20180104-394857,2018-01-04 03:49:19 +0000 UTC,110000,110000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
1,Pesanan ID-20180104-394857,2018-01-04 03:49:19 +0000 UTC,125000,125000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180104-441349,2018-01-04 03:22:58 +0000 UTC,115000,115000,"Devibav Plain Trump Blouse (S,Yellow)",SSI-D01220357-SS-YEL
1,Pesanan ID-20180104-281342,2018-01-04 03:04:21 +0000 UTC,120000,120000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
1,Pesanan ID-20180104-178216,2018-01-04 02:47:23 +0000 UTC,115000,115000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180104-178216,2018-01-04 02:47:23 +0000 UTC,110000,110000,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
1,Pesanan ID-20180104-826098,2018-01-04 01:30:17 +0000 UTC,125000,125000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180104-605558,2018-01-04 00:36:14 +0000 UTC,130000,130000,"Dellaya Plain Loose Big Blouse (XXXL,Black)",SSI-D01037812-X3-BLA
1,Pesanan ID-20180103-542227,2018-01-03 23:53:20 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (S,Navy)",SSI-D00864652-SS-NAV
1,Pesanan ID-20180103-999499,2018-01-03 15:24:19 +0000 UTC,130000,130000,"Devibav Plain Trump Blouse (M,Yellow)",SSI-D01220322-MM-YEL
1,Pesanan ID-20180103-234549,2018-01-03 15:07:30 +0000 UTC,130000,130000,"Thafqya Plain Raglan Blouse (L,White)",SSI-D01322234-LL-WHI
1,Pesanan ID-20180103-550533,2018-01-03 14:55:53 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180103-098297,2018-01-03 13:11:27 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (L,Navy)",SSI-D00864612-LL-NAV
1,Pesanan ID-20180103-098297,2018-01-03 13:11:27 +0000 UTC,120000,120000,"Salyara Plain Casual Big Blouse (XXL,Black)",SSI-D01466013-XX-BLA
1,Pesanan ID-20180103-488855,2018-01-03 12:37:37 +0000 UTC,110000,110000,"Deklia Plain Casual Blouse (M,Navy)",SSI-D00864661-MM-NAV
1,Pesanan ID-20180103-094530,2018-01-03 12:05:53 +0000 UTC,130000,130000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180103-094530,2018-01-03 12:05:53 +0000 UTC,120000,120000,"Deklia Plain Casual Blouse (XL,Navy)",SSI-D00864614-XL-NAV
1,Pesanan ID-20180103-281889,2018-01-03 09:46:13 +0000 UTC,110000,110000,"Zeomila Zipper Casual Blouse (L,Red)",SSI-D01401071-LL-RED
1,Pesanan ID-20180103-082704,2018-01-03 09:09:44 +0000 UTC,125000,125000,"Salyara Plain Casual Big Blouse (XXXL,Black)",SSI-D01466064-X3-BLA
